ID,star_distance,star_mass_kg,star_radius_m,star_temperature,planet_mass_kg,planet_orbital_period,planet_distance,planet_surface_gravity
1,283.803,1.4655906360253134e+30,932238000.0,4803.0,2.509419899827603e+27,3.5505852,0.0411436924215526,32.77122509004906
2,223.465,2.2307473236893758e+30,1426066731.0,6115.0,6.409425961796262e+26,19.1480951,0.145545770418509,8.37025086580606
3,1516.96,3.313486208531232e+30,1690551000.0,7366.0,2.4867657809305494e+27,0.5542332,0.015655099280768,32.475378536172975
4,542.026,2.0873829720120463e+30,1071378000.0,5999.1,6.4964753957328e+26,3.00782,0.0414445745650576,8.48393118665199
5,597.937,1.8049353151090003e+30,883539000.0,5652.8,5.4087691207027016e+26,6.5081212,0.0660526198117872,7.0634647603947105
6,825.004,2.2295045675201897e+30,1210518000.0,6114.0,1.2333750983042742e+27,2.3540172,0.0359783814422968,16.106994676246714
7,40.9223,1.1952729414740124e+30,382864581.0,3808.0,3.96867536016948e+25,80.6797247,0.3083881722656096,0.5182805537900635
8,78.6946,1.70577729167703e+30,580597826.4,5461.0,2.124632805780145e+25,11.8918633,0.0968812633775007,0.2774618146477079
9,826.265,1.5907278965584408e+30,507861000.0,5120.0,1.2829637777297393e+26,16.068638,0.1156969582990194,1.6754587283399403
10,252.762,1.5509596991444798e+30,521775000.0,4893.0,4.858561051757593e+25,29.88485741,0.1735021632563918,0.6344932462352437
11,383.487,1.6147876559938873e+30,626130000.0,5285.0,4.9871652459434523e+26,3.3422985,0.0408163696944919,6.512880321356771
12,304.645,2.147482660353896e+30,1036593000.0,5825.0,4.209487661249352e+25,12.8159,0.1099714352084023,0.5497289141210041
13,431.051,1.5708437978514603e+30,521775000.0,4913.0,2.884770624481071e+25,0.92785982,0.0172122050197068,0.376730364952176
14,225.888,6.065604542366991e+30,1266174000.0,9918.0,4.850276996398051e+27,1.90261,0.0435803077443133,63.3411407987031
15,50.1632,1.1652081842290576e+30,365242500.0,3765.0,2.085486847981019e+25,0.62425,0.0119620594038308,0.27234963316509175
16,914.221,1.9685257719910705e+30,660915000.0,5498.0,3.151080502130534e+27,60.323105,0.3000360397776704,41.150852601144535
17,197.572,1.6106119952654213e+30,1015722000.0,5754.0,1.6283771025031314e+27,3.24406,0.0399815990362221,21.265437705853103
18,1731.27,1.7696847849212654e+30,598302000.0,5493.0,6.718478954383548e+25,6.77030201,0.0673764200174541,0.8773851920596731
19,407.374,3.175490563504787e+30,765270000.0000001,7192.0,1.9241771741602374e+26,4.6512523,0.0637405714358205,2.5128374606366886
20,61.4592,1.2615267583656717e+30,454423587.3,4046.0,2.4959990074341884e+25,0.6047427,0.0120257357713848,0.3259595785575155
21,95.2649,1.3417789807470448e+30,465209720.09999996,4336.0,2.4269749868297055e+25,1.8289811,0.0256723456692889,0.3169455362443694
22,334.993,2.3910628695144064e+30,1022679000.0,6244.0,7.150622167810552e+26,3.8016435,0.0506924952709236,9.338199980454165
23,151.654,1.6173725888257947e+30,594712883.6999999,5290.0,4.76513718572115e+25,11.3123337,0.0920599164918461,0.6222927590115902
24,301.462,1.988409870698051e+30,626130000.0,5900.0,1.8978754108428099e+27,5.748145,0.0628045407734536,24.78489243106421
25,513.6,2.4047331873754555e+30,702657000.0,6255.0,6.696263411719435e+26,2.5087868,0.0384973245411306,8.744840014331334
26,791.163,1.710032488800324e+30,591345000.0,5272.0,2.334386755336657e+25,1.729366,0.0268161645832837,0.3048541769020899
27,562.401,2.019727326161545e+30,681786000.0,5863.0,7.843740482937174e+26,2.8048958,0.0391268135208825,10.243362815921063
28,245.089,2.0768941099441148e+30,742416255.0,5978.0,5.170647494529044e+25,2.6857229,0.038365835904909,0.6752494985639933
29,740.11,2.769183861551024e+30,855711000.0,6647.1,1.4263470124211426e+27,4.3721206,0.05843563457217041,18.6270695485373
30,639.004,2.2270190551818173e+30,834840000.0,5780.0,2.789876853938931e+27,2.1605156,0.0339690587387484,36.43379187366439
31,419.142,2.954031414155792e+30,1641852000.0,6895.0,6.864470704954629e+26,4.04163,0.0566598147309057,8.964506681865815
32,178.68,2.3040699376713664e+30,960065999.9999999,6174.0,5.9239853774629545e+26,3.4076,0.0465475368226614,7.736300260005705
33,688.573,1.5708437978514603e+30,577431000.0,5036.0,6.946224003684684e+25,49.499875,0.24392201538200103,0.90712706297695
34,736.788,2.0218648667725453e+30,827883000.0,5867.3,4.820663440488703e+26,5.7462418,0.0631353198799239,6.295440898610821
35,440.708,2.10895721910912e+30,869625000.0,6017.0,6.647095115493222e+26,4.3170598,0.0529151922481206,8.68062974394039
36,390.374,2.028178068112012e+30,751356000.0,5946.0,4.649794756564885e+25,172.7049784,0.6110018560645195,0.6072298645610732
37,141.812,2.619232902177008e+30,896367708.0,6446.0,6.692086776281547e+26,11.2366049,0.1076251719069421,8.739385627838923
38,211.877,2.386091844837661e+30,967022999.9999999,5940.0,5.902392527721139e+26,4.8996284,0.0599986868395981,7.70810154606097
39,543.277,1.651493702206973e+30,626130000.0,5356.0,7.669695742470816e+26,2.36011,0.0326096558873013,10.016072860742417
40,287.558,2.056512908769459e+30,960065999.9999999,5937.0,3.15423853644817e+27,6.8646554,0.0714861737734613,41.19209426559154
41,904.326,1.8094529823352264e+30,626130000.0,5529.0,7.255577695652062e+25,26.44,0.1683296675759436,0.9475264376395847
42,792.79,4.4200821881092834e+30,4723803000.0,8522.0,7.594904458067867e+26,10.95478,0.1259829094345525,9.918400804499004
43,141.436,1.4828235202457566e+30,502657164.00000006,4868.0,5.6835124544640484e+25,63.5862535,0.2827294567836385,0.7422259860142749
44,397.292,2.386091844837661e+30,897453000.0,6145.0,1.002078216925004e+28,217.83184,0.7553583448163343,130.86423203601908
45,416.25,2.962979258573933e+30,2149713000.0,6907.0,1.0994411935980408e+27,9.30992,0.0989249672388552,14.35791388724895
46,44.0727,1.1930459224188303e+30,389592000.00000006,3896.0,3.869767962708489e+25,10.054626,0.0769012852934944,0.5053639566693992
47,1262.02,2.562563220862113e+30,1398356999.9999998,6382.0,5.9299368490487994e+26,3.8996784,0.0527646591229189,7.744072455283592
